 ************************************************************************************************************************
                         Exem


data

  number of boundary elements= 80

  number of functional nodes= 84

  number of internal source points where the funct. is calculated=144




  coordinates of the source points of the boundary elements

    point          x                  y
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  4.353157666667864E-002
 fi=  8.614738698027412E-002
 fi=  3.860640168103947E-002
 fi= -4.737388028049105E-002
 fi= -7.989295371377603E-002
 fi= -2.461806411815620E-002
 fi=  5.853755446551760E-002
 fi=  7.969539587661011E-002
 fi=  1.484393806517158E-002
 fi= -6.792432460758475E-002
 fi= -8.083801590211005E-002
 fi= -9.719432619020535E-003
 fi=  4.340858558049863E-002
 fi=  8.512999326005435E-002
 fi=  3.607077529224620E-002
 fi= -5.141826938388907E-002
 fi= -8.394486657914693E-002
 fi= -2.683456819787828E-002
 fi=  5.903107909085739E-002
 fi=  8.203787314553991E-002
 fi=  1.746460138369467E-002
 fi= -6.603926789891156E-002
 fi= -7.925413953577103E-002
 fi= -7.271262927782110E-003
 fi=  4.315804464528467E-002
 fi=  8.390886142391160E-002
 fi=  3.335026381058602E-002
 fi= -5.545710675565614E-002
 fi= -8.796170519597483E-002
 fi= -2.912847244727728E-002
 fi=  5.934171230504000E-002
 fi=  8.438384534419094E-002
 fi=  2.040905792256874E-002
 fi= -6.370116277083265E-002
 fi= -7.772969339244516E-002
 fi= -6.170160108689822E-003
 fi=  4.347891285148757E-002
 fi=  8.444198860560179E-002
 fi=  3.325090220298902E-002
 fi= -5.653830353767486E-002
 fi= -8.943780604351322E-002
 fi= -2.994765532202633E-002
 fi=  5.978540438266542E-002
 fi=  8.573730662828666E-002
 fi=  2.168059315488433E-002
 fi= -6.335669831086309E-002
 fi= -7.847057575058809E-002
 fi= -7.573784241801967E-003
 fi=  4.446898005393208E-002
 fi=  8.697122994966931E-002
 fi=  3.621946013878403E-002
 fi= -5.407203370839292E-002
 fi= -8.780693823575086E-002
 fi= -2.900089817252373E-002
 fi=  6.022517945855902E-002
 fi=  8.558380004339515E-002
 fi=  2.069756170788360E-002
 fi= -6.525617119053377E-002
 fi= -8.109098624960707E-002
 fi= -1.053362019636702E-002
 fi=  4.553137130069657E-002
 fi=  8.979694594899407E-002
 fi=  3.993007258064944E-002
 fi= -5.044912954843582E-002
 fi= -8.502079046515734E-002
 fi= -2.749368946532053E-002
 fi=  6.028964953374390E-002
 fi=  8.433959799800325E-002
 fi=  1.860187289469256E-002
 fi= -6.756058555582657E-002
 fi= -8.310894813054626E-002
 fi= -1.222339885171493E-002
 fi=  4.584229179419744E-002
 fi=  9.069176343710882E-002
 fi=  4.126833812991473E-002
 fi= -4.891516414503493E-002
 fi= -8.369798655271354E-002
 fi= -2.689551106795525E-002
 fi=  5.980951035723434E-002
 fi=  8.293967951845184E-002
 fi=  1.705031317182169E-002
 fi= -6.826616626798294E-002
 fi= -8.241723704002371E-002
 fi= -1.047263646994843E-002
 fi=  4.511028174341004E-002
 fi=  8.881312419304227E-002
 fi=  3.900023080663136E-002
 fi= -5.076955959654941E-002
 fi= -8.478830226104804E-002
 fi= -2.749530136089763E-002
 fi=  5.918897702729500E-002
 fi=  8.219226483678657E-002
 fi=  1.677453197965513E-002
 fi= -6.714642878624701E-002
 fi= -7.944338886892016E-002
 fi= -6.155844592209806E-003
 fi=  4.386880425852081E-002
 fi=  8.548990445077251E-002
 fi=  3.480994406189714E-002
 fi= -5.434819376575153E-002
 fi= -8.683929478276764E-002
 fi= -2.812531200829011E-002
 fi=  5.923083626215834E-002
 fi=  8.234657843613771E-002
 fi=  1.718547400033956E-002
 fi= -6.585927694913213E-002
 fi= -7.688130323029524E-002
 fi= -2.670918579310665E-003
 fi=  4.309176213100711E-002
 fi=  8.324431734374625E-002
 fi=  3.182568235890670E-002
 fi= -5.663981791791145E-002
 fi= -8.749302280465976E-002
 fi= -2.735023384952401E-002
 fi=  6.043230392156602E-002
 fi=  8.307666829395317E-002
